"","HUD.ID.Number","Project.Name","address","Project.City","Project.State","Project.ZIP.Code","County","Total.Number.of.Units","Total.Low.Income.Units","Compliance.Monitoring.Status","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"34","NYC19930016","ROUND IV (ANTHONY E CARTER)","325 new lots ave","BROOKLYN","NY",11207,"Kings County",51,50,"Not Indicated","BK",3838,68,305,3112800,31128003001,1128,3001,19,42,11207,"E290",75,33,6300,3,5,"4C","R6","","","","C1-3","","","",NA,"","N","C0",2,0,"X","HPENY HOUSING DEVELOPMENT FUND COMPANY,  INC.",1908,3680,0,3680,0,0,0,0,0,0,2,1,2,3,3,20,95.42,20,88,"E",3,"Y",5,5,19080,47160,47160,1930,0,0,"","",1.93,2.43,0,4.8,3,3038380068,NA,1128,1013420,180227,"17d","","316 038",31208,"",NA,"",1,NA,NA,"25v4","",40.6613101,-73.8948608,NA
"35","NYC19930019","ROUND IV (WILLOUGHBY-TOMPKINS)","162 vernon ave","BROOKLYN","NY",11206,"Kings County",55,54,"Not Indicated","BK",1760,16,303,3025901,30259011003,259.01,1003,14,36,11206,"L102",79,36,1800,3,3,"1B","R6B","","","","","","","",NA,"","N","C0",2,0,"X","27 BED STUY HOUSING DEVELOPMENT FUND COR PORATION",1875,3152,0,2364,0,0,0,0,0,0,2,1,3,3,3,18.75,100,18.75,42,"N",3,"N",5,1,15240,121080,121080,1901,1992,0,"","",1.68,2,0,2,3,3017600016,NA,25901,999392,192424,"13b","","303 064",30609,"",NA,"",1,NA,NA,"25v4","",40.6948232,-73.9453953,NA
"36","NYC19940024","ROUND VI (DAWSON ESTATES)","633 new jersey ave","BROOKLYN","NY",11207,"Kings County",23,22,"Not Indicated","BK",3824,5,305,3112600,31126002003,1126,2003,19,42,11207,"L103",75,33,6300,3,5,"4D","R6","","","","","","","",NA,"","N","C0",2,0,"X","HPENY HOUSING DEVELOPMENT FUND COMPANY,  INC.",2333,3358,0,3358,0,0,0,0,0,0,2,1,2,3,3,23.33,100,23.33,72,"N",3,"N",5,4,23700,62280,62280,1899,0,0,"","",1.44,2.43,0,4.8,3,3038240005,NA,1126,1014085,181114,"17d","","316 032",31207,"",NA,"",1,NA,NA,"25v4","",40.6637425,-73.89246,NA
"37","NYC19940028","ROUND VI (BROOKLYN)","905a gates ave","BROOKLYN","NY",11221,"Kings County",33,32,"Not Indicated","BK",1632,73,303,3038700,30387002001,387,2001,16,36,11221,"E214",81,32,2100,3,3,"4B","R6A","","","","","","","",NA,"","N","C3",2,0,"X","BNIA STUYVESANT HEIGHTS HOUSING DEVELOPM ENT FUND C",1875,5416,0,5416,0,0,0,0,0,0,2,1,4,4,4,20.83,90,20.83,65,"N",0,"N",5,5,26100,596700,596700,1931,1994,0,"","",2.89,3,0,3,3,3016320073,NA,387,1003765,190249,"17a","","305 023",30605,"",NA,"",1,NA,NA,"25v4","",40.6888448,-73.9296319,NA
"38","NYC19950070","ROUND VI (BEC NEW COMMUNITIES)","956 myrtle ave","BROOKLYN","NY",11206,"Kings County",31,30,"Not Indicated","BK",1757,9,303,3028300,30283001001,283,1001,16,36,11206,"L102",79,36,1900,3,3,"1B","R7D","","","","C2-4","","","",NA,"","N","C3",2,0,"","956 MYRTLE HOUSING DEVELOPMENT FUND CORP ORATION",2500,6000,0,6000,0,0,0,0,0,0,2,1,4,4,4,25,100,25,60,"N",0,"N",5,5,28800,661050,0,1931,1993,0,"","",2.4,4.66,0,4.66,3,3017570009,NA,283,999990,192788,"13b","","303 065",30609,"",NA,"",1,NA,NA,"25v4","",40.6958213,-73.943238,NA
"39","NYC19950115","ROUND VI (PACC)","848 greene ave","BROOKLYN","NY",11221,"Kings County",32,31,"Not Indicated","BK",1620,39,303,3029100,30291002001,291,2001,16,36,11221,"E214",81,32,2100,3,3,"4B","R6B","","","","","","","",NA,"","N","C0",2,0,"X","IMPACCT HOUSING DEVELOPMENT FUND CORPORA TION",2000,3360,0,2520,0,0,0,0,0,0,2,1,3,3,3,20,100,20,42,"N",3,"N",5,1,22440,75360,75360,1899,1993,0,"","",1.68,2,0,2,3,3016200039,NA,291,1002511,190713,"17a","","305 009",30605,"",NA,"",1,NA,NA,"25v4","",40.690121,-73.9341523,NA
"40","NYC19960055","ROUND VI (NE BROOKLYN HOUSING CORP BROADWAY)","340 hart st","BROOKLYN","NY",11206,"Kings County",43,42,"Not Indicated","BK",1594,39,303,3028100,30281001000,281,1000,16,36,11206,"E217",81,36,1900,3,3,"1B","R6B","","","","","","","",NA,"","N","B3",1,0,"X","27 BED STUY HOUSING DEVELOPMENT FUND COR PORATION",2000,2400,0,1600,0,0,0,0,0,0,2,1,2,2,2,20,100,20,40,"N",2,"N",5,1,19620,73440,73440,1899,1994,0,"","",1.2,2,0,2,3,3015940039,NA,281,1001515,192201,"13b","","303 066",30604,"",NA,"",1,NA,NA,"25v4","",40.6942072,-73.93774,NA
"41","NYC19970002","1120 MADISON ST","1120 madison st","BROOKLYN","NY",11221,"Kings County",16,16,"Not Indicated","BK",3368,28,304,3041500,30415002000,415,2000,32,37,11221,"L112",83,34,3400,3,4,"2A","R6","","","","C2-3","","","",NA,"","N","C1",2,0,"","1122 REALTY ASSOCIATES LLC",8000,13024,0,13024,0,0,0,0,0,0,2,2,4,16,16,80,100,53.33,70,"N",2,"N",5,0,54000,369900,0,1906,1997,0,"","",1.63,2.43,0,4.8,3,3033680028,NA,415,1007660,191459,"17a","","309 017",31107,"",3033680028,"02/14/2000",1,NA,NA,"25v4","",40.6921565,-73.9155829,NA
"42","NYC19970110","LAFAYETTE CLUSTER","312 van buren st","BROOKLYN","NY",11221,"Kings County",2,2,"Not Indicated","BK",1615,30,303,3029100,30291001002,291,1002,16,36,11221,"E214",81,32,2100,3,3,"4B","R6B","","","","","","","",NA,"","N","B3",1,0,"X","DARE TO DREAM HOUSING ASSOCIATION, INC.",1783,2247,0,1498,0,0,0,0,0,0,2,1,2,2,2,17.83,100,17.83,42,"N",3,"N",5,1,18480,72720,72720,1899,1995,0,"","",1.26,2,0,2,3,3016150030,NA,291,1002382,190966,"17a","","305 009",30604,"",NA,"",1,NA,NA,"25v4","",40.6908157,-73.9346168,NA
"43","NYC19970215","STAGG-MORGAN","18 stagg st","BROOKLYN","NY",11206,"Kings County",36,31,"Not Indicated","BK",3031,13,301,3051100,30511003002,511,3002,14,34,11206,"E216",90,30,1500,3,1,"2A","R6B","","","","","","","",NA,"","N","C1",2,0,"X","BROOKLYN NEIGHBORHOOD HOUSING DEV FUND C ORPORATION",2500,3750,0,3750,0,0,0,0,0,0,2,2,3,9,9,25,100,25,50,"N",0,"N",5,0,5400,804150,804150,1930,0,0,"","",1.5,2,0,2,3,3030310013,NA,511,998136,197466,"13b","","303 037",31004,"",NA,"",1,NA,NA,"25v4","",40.7086644,-73.9499143,NA
"44","NYC19980165","ELDERT DECATUR CLUST","1156 gates ave","BROOKLYN","NY",11221,"Kings County",6,5,"Not Indicated","BK",3340,3,304,3039900,30399003000,399,3000,32,37,11221,"E277",83,34,3400,3,4,"2A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2600,5460,0,5460,0,0,0,0,0,0,2,1,3,6,6,26,100,26,70,"N",0,"N",5,5,5400,746100,201431,1931,1997,0,"","",2.1,2.43,0,4.8,3,3033400003,NA,399,1006451,191144,"17a","","305 041",31106,"",NA,"",1,NA,NA,"25v4","",40.691295,-73.9199436,NA
"45","NYC19980170","ELDERT/DECATUR CLUSTER","10 eldert st","BROOKLYN","NY",11207,"Kings County",8,8,"Not Indicated","BK",3414,12,304,3040100,30401002001,401,2001,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C1",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",3958,6830,0,6830,0,0,0,0,0,0,2,1,3,8,8,39.58,100,39.58,40,"N",2,"N",5,2,7200,583200,0,1909,1997,0,"","",1.73,2.43,0,4.8,3,3034140012,NA,401,1008110,189013,"17a","","305 044",31108,"",3034140012,"02/19/1997",1,NA,NA,"25v4","",40.6854416,-73.9139688,NA
"46","NYC19980175","ELDERT/DECATUR CLUSTER","1001 decatur st","BROOKLYN","NY",11207,"Kings County",6,6,"Not Indicated","BK",3426,42,304,3040100,30401001002,401,1002,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2535,4972,0,4972,0,0,0,0,0,0,2,1,3,6,6,25.5,100,25.5,65,"N",0,"Y",5,5,5400,615600,0,1910,1997,0,"","",1.96,2.43,0,4.8,3,3034260042,NA,401,1008770,188855,"17c","","305 065",31108,"",NA,"",1,NA,NA,"25v4","",40.6850061,-73.9115897,NA
"47","NYC19980180","ELDERT/DECATUR CLUSTER","1002 decatur st","BROOKLYN","NY",11207,"Kings County",6,5,"Not Indicated","BK",3432,24,304,3040300,30403002000,403,2000,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2500,4950,0,4950,0,0,0,0,0,0,2,1,3,6,6,25,100,25,66,"N",3,"N",5,5,4950,612900,0,1906,1997,0,"","",1.98,2.43,0,4.8,3,3034320024,NA,403,1008896,188762,"17c","","305 065",31109,"",NA,"",1,NA,NA,"25v4","",40.6847505,-73.9111357,NA
"48","NYC19980185","ELDERT/DECATUR CLUSTER","1006 decatur st","BROOKLYN","NY",11207,"Kings County",6,5,"Not Indicated","BK",3432,25,304,3040300,30403002000,403,2000,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2500,4950,0,4950,0,0,0,0,0,0,2,1,3,6,6,25,100,25,66,"N",0,"N",5,5,5400,612900,0,1906,0,0,"","",1.98,2.43,0,4.8,3,3034320025,NA,403,1008911,188782,"17c","","305 065",31109,"",NA,"",1,NA,NA,"25v4","",40.6848054,-73.9110815,NA
"49","NYC19980190","ELDERT/DECATUR CLUSTER","22 eldert st","BROOKLYN","NY",11207,"Kings County",4,3,"Not Indicated","BK",3414,18,304,3040100,30401002001,401,2001,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C3",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",1967,3145,0,3145,0,0,0,0,0,0,2,1,3,4,4,19.67,100,19.67,40,"N",3,"N",5,5,75600,389250,0,1915,1998,0,"","",1.6,2.43,0,4.8,3,3034140018,NA,401,1008169,189093,"17a","","305 044",31108,"",NA,"",1,NA,NA,"25v4","",40.685661,-73.9137558,NA
"50","NYC19980195","ELDERT/DECATUR CLUSTER","31 granite st","BROOKLYN","NY",11207,"Kings County",6,6,"Not Indicated","BK",3456,43,304,3040300,30403001005,403,1005,32,37,11207,"Q252",83,34,3500,3,4,"3A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2600,4914,0,4914,0,0,0,0,0,0,2,1,3,6,6,26,100,26,63,"N",0,"N",5,5,5400,556650,171430,1911,1997,0,"","",1.89,2.43,0,4.8,3,3034560043,NA,403,1009770,188022,"17c","","305 066",31109,"",NA,"",1,NA,NA,"25v4","",40.6827169,-73.9079872,NA
"51","NYC19980200","ELDERT/DECATUR CLUSTER","34 granite st","BROOKLYN","NY",11207,"Kings County",6,6,"Not Indicated","BK",3461,21,304,3040500,30405002000,405,2000,32,37,11207,"Q252",83,34,3810,3,4,"3A","R6","","","","","","","",NA,"","N","C2",2,0,"","BUSHWICK PROPERTIES MGNT LTD PTRSH",2500,4818,0,4818,0,0,0,0,0,0,2,1,3,6,6,25,100,25,69,"N",0,"N",5,5,5850,544500,0,1911,1997,0,"","",1.93,2.43,0,4.8,3,3034610021,NA,405,1009908,187944,"17c","","305 066",31109,"",NA,"",1,NA,NA,"25v4","",40.6825024,-73.9074899,NA
"52","NYC19980275","LAFAYETTE CLUSTER","895 lafayette ave","BROOKLYN","NY",11221,"Kings County",7,7,"Not Indicated","BK",1606,78,303,3028900,30289002001,289,2001,16,36,11221,"E214",81,36,1900,3,3,"4B","R6B","","","","","","","",NA,"","N","C7",4,0,"","DARE TO DREAM HOUSING ASSOCIATION, INC.",1920,5760,1440,4320,0,1440,0,0,0,0,2,1,4,7,8,24,80,24,60,"E",0,"N",3,2,6300,621900,553491,1931,0,0,"","",3,2,0,2,3,3016060078,NA,289,1001823,191315,"17a","","305 009",30604,"",NA,"",1,NA,NA,"25v4","",40.6917748,-73.9366316,NA
"53","NYC19980280","LAFAYETTE CLUSTER","952 lafayette ave","BROOKLYN","NY",11221,"Kings County",2,2,"Not Indicated","BK",1610,41,303,3029100,30291001001,291,1001,16,36,11221,"E214",81,32,2100,3,3,"4B","R6A","R6B","","","","","","",NA,"","Y","B3",1,0,"X","DARE TO DREAM HOUSING ASSOCIATION, INC.",1383,2001,0,1334,0,0,0,0,0,0,2,1,2,2,2,16.67,83,16.67,40,"N",3,"N",5,1,16800,68640,68640,1899,1996,0,"","",1.45,3,0,3,3,3016100041,NA,291,1002484,191265,"17a","","305 009",30604,"",NA,"",1,NA,NA,"25v4","",40.6916362,-73.9342482,NA
"54","NYC19980315","PUTNAM CLUSTER","186 malcolm x blvd","BROOKLYN","NY",11221,"Kings County",9,9,"Not Indicated","BK",1646,39,303,3029300,30293004000,293,4000,16,36,11221,"E214",81,32,2100,3,3,"4A","R6A","","","","C2-4","","","",NA,"","N","C1",2,0,"X","WFHA BROOKLYN RESTORATION L.P.",2800,7616,0,7616,0,0,0,0,0,0,2,1,4,9,9,28,100,28,68,"N",0,"N",5,0,144900,794700,794700,1931,2020,0,"","",2.72,3,0,3,3,3016460039,NA,293,1003622,189529,"17a","","305 022",30605,"",NA,"",1,NA,NA,"25v4","",40.6868689,-73.9301496,NA
"55","NYC19980320","PUTNAM CLUSTER","201 malcolm x blvd","BROOKLYN","NY",11221,"Kings County",6,6,"Not Indicated","BK",1652,6,303,3038500,30385004001,385,4001,16,36,11221,"L111",81,32,3000,3,3,"4A","R6A","","","","C2-4","","","",NA,"","N","C2",2,0,"X","WFHA BROOKLYN RESTORATION L.P.",2080,4680,0,4680,0,0,0,0,0,0,2,1,3,6,6,26,80,26,60,"N",0,"N",5,5,107550,579600,579600,1910,2019,0,"","",2.25,3,0,3,3,3016520006,NA,385,1003821,189262,"17a","","305 037",30606,"",NA,"",1,NA,NA,"25v4","",40.6861356,-73.9294328,NA
"56","NYC19980325","PUTNAM CLUSTER","205 malcolm x blvd","BROOKLYN","NY",11221,"Kings County",6,6,"Not Indicated","BK",1652,5,303,3038500,30385004001,385,4001,16,36,11221,"L111",81,32,3000,3,3,"4A","R6A","","","","C2-4","","","",NA,"","N","C2",2,0,"X","WFHA BROOKLYN RESTORATION L.P.",2080,4680,0,4680,0,0,0,0,0,0,2,1,3,6,6,26,80,26,60,"N",0,"N",5,5,107550,544050,544050,1910,1997,2016,"","",2.25,3,0,3,3,3016520005,NA,385,1003825,189236,"17a","","305 037",30606,"",NA,"",1,NA,NA,"25v4","",40.6860642,-73.9294184,NA
"57","NYC19980330","PUTNAM CLUSTER","668 madison st","BROOKLYN","NY",11221,"Kings County",8,6,"Not Indicated","BK",1646,20,303,3029300,30293004000,293,4000,16,36,11221,"E214",81,32,2100,3,3,"4B","R6B","","","","","","","",NA,"","N","C1",2,0,"X","WFHA BROOKLYN RESTORATION L.P.",3117,9388,0,9388,0,0,0,0,0,0,2,1,4,8,8,31.17,100,31.17,81.5,"N",0,"N",5,2,8100,1162350,1162350,1931,2019,0,"","",3.01,2,0,2,3,3016460020,NA,293,1003261,189462,"17a","","305 022",30605,"",NA,"",1,NA,NA,"25v4","",40.6866857,-73.9314514,NA
"58","NYC19980345","PUTNAM CLUSTER","828 putnam ave","BROOKLYN","NY",11221,"Kings County",4,3,"Not Indicated","BK",1652,19,303,3038500,30385004001,385,4001,16,36,11221,"L111",81,32,3000,3,3,"4A","R6B","","","","","","","",NA,"","N","C3",2,0,"X","WFHA BROOKLYN RESTORATION L.P.",1950,3354,0,3354,0,0,0,0,0,0,2,1,4,4,4,19.5,100,19.5,43,"N",0,"N",5,5,16200,427050,427050,1910,2019,0,"","",1.72,2,0,2,3,3016520019,NA,385,1004063,189311,"17a","","305 037",30606,"",NA,"",1,NA,NA,"25v4","",40.6862695,-73.9285601,NA
"59","NYC19980385","WILLIAMS ASSOC","486 williams ave","BROOKLYN","NY",11207,"Kings County",140,106,"Not Indicated","BK",3818,33,305,3113000,31130002002,1130,2002,19,42,11207,"E231",75,33,6300,3,5,"4C","R7A","R6","","","C2-4","","","",NA,"","Y","C1",2,0,"X","HPENY HOUSING DEVELOPMENT FUND COMPANY,  INC.",4400,12072,0,12072,0,0,0,0,0,0,2,1,4,13,13,44,100,44,88,"N",2,"N",5,0,79200,389700,389700,1930,0,0,"","",2.74,4,0,4,3,3038180033,NA,1130,1012562,181146,"17d","","316 030",31207,"",NA,"",1,NA,NA,"25v4","",40.6638353,-73.8979495,NA
"60","NYC19990045","CYPRESS COURT PHASE II","2829 fulton st","BROOKLYN","NY",11207,"Kings County",57,52,"Not Indicated","BK",3934,46,305,3114600,31146001004,1146,1004,19,37,11207,"L175",75,34,3820,3,5,"1D","R6B","","","","C2-4","","EC-6","",NA,"","N","C2",2,0,"X","CYPRESS COURT ASSOCIATES L.P.",2500,4500,0,4500,0,0,0,0,0,0,2,1,3,6,6,25,100,20,75,"N",2,"N",5,5,4950,270000,270000,1926,1993,0,"","",1.8,2,0,2,3,3039340046,NA,1146,1014666,186473,"17c","","308 002",31302,"",NA,"",1,NA,NA,"25v4","",40.6784498,-73.8903416,NA
"61","NYC19990160","KOSCIUSKO CLUSTER","1134 broadway","BROOKLYN","NY",11221,"Kings County",1,1,"Not Indicated","BK",1604,30,303,3028900,30289001001,289,1001,16,36,11221,"E217",81,36,1900,3,3,"4B","C4-4L","","","","","","EC-4","",NA,"","N","S1",4,0,"","1134 BROADWAY REALTY LLC",1630,2144,1072,1072,0,0,0,0,0,1072,2,1,2,1,2,19.5,73.5,19.5,55,"N",0,"Y",5,0,4140,54600,0,1916,1998,0,"","",1.32,4,4,4,3,3016040030,NA,289,1003832,191902,"13b","Y","305 011",30604,"",NA,"",1,NA,NA,"25v4","",40.6933817,-73.9293855,NA
"62","NYC19990170","KOSCIUSKO CLUSTER","812 lafayette ave","BROOKLYN","NY",11221,"Kings County",2,1,"Not Indicated","BK",1792,33,303,3027900,30279001001,279,1001,16,36,11221,"L102",79,32,2100,3,3,"3B","R6B","","","","","","","",NA,"","N","B3",1,0,"","JENEVA CAPITAL LLC",2000,2520,0,1680,0,0,0,0,0,0,2,1,2,2,2,20,100,20,42,"N",3,"N",5,1,17820,92220,0,1925,0,0,"","",1.26,2,0,2,3,3017920033,NA,279,1000782,190998,"17a","","305 007",30610,"",NA,"",1,NA,NA,"25v4","",40.6909067,-73.9403863,NA
"63","NYC19990175","KOSCIUSKO CLUSTER","911 dekalb ave","BROOKLYN","NY",11221,"Kings County",3,3,"Not Indicated","BK",1777,40,303,3028100,30281003002,281,3001,16,36,11221,"L102",79,36,1900,3,3,"3B","R6A","","","","C2-4","","","",NA,"","N","S3",4,0,"","ELDEKAH HOLDINGS LLC",1560,5070,1267,3803,0,1267,0,0,0,0,2,1,4,3,4,19.5,80,19.5,65,"N",0,"N",5,5,18450,491400,134436,1931,0,0,"","",3.25,3,0,3,3,3017770040,NA,281,1000821,191708,"17a","","303 065",30609,"",NA,"",1,NA,NA,"25v4","",40.6928554,-73.9402439,NA
"64","NYC19990177","KOSCIUSKO CLUSTER","518 kosciuszko st","BROOKLYN","NY",11221,"Kings County",14,13,"Not Indicated","BK",1607,15,303,3028900,30289002000,289,2000,16,36,11221,"E214",81,36,1900,3,3,"4B","R6B","","","","","","","",NA,"","N","C1",2,0,"","ELDEKAH HOLDINGS LLC",3500,9350,0,9350,0,0,0,0,0,0,2,1,4,8,8,35,100,35,67,"N",0,"N",5,2,12600,1009350,0,1931,1998,0,"","",2.67,2,0,2,3,3016070015,NA,289,1002786,191575,"17a","","305 010",30604,"",NA,"",1,NA,NA,"25v4","",40.6924864,-73.9331583,NA
"65","NYC19990180","LAFAYETTE CLUSTER","1003 lafayette ave","BROOKLYN","NY",11221,"Kings County",9,8,"Not Indicated","BK",1607,55,303,3028900,30289002000,289,2000,16,36,11221,"E214",81,36,1900,3,3,"4B","R6B","","","","","","","",NA,"","N","C1",2,0,"X","DARE TO DREAM HOUSING ASSOCIATION, INC.",2800,8400,0,8400,0,0,0,0,0,0,2,1,4,8,8,28,100,28,75,"N",0,"N",5,2,11250,756900,756900,1931,0,0,"","",3,2,0,2,3,3016070055,NA,289,1003126,191523,"17a","","305 010",30604,"",NA,"",1,NA,NA,"25v4","",40.692343,-73.9319324,NA
"66","NYC19990185","LAFAYETTE CLUSTER","1069 lafayette ave","BROOKLYN","NY",11221,"Kings County",16,7,"Not Indicated","BK",1608,51,303,3028900,30289001002,289,1002,16,36,11221,"E214",81,36,1900,3,3,"4B","R6B","","","","","","","",NA,"","N","C1",2,0,"","SELDON GROUP LLC",2500,6000,0,6000,0,0,0,0,0,0,2,1,4,8,8,25,100,25,60,"N",0,"N",5,2,8100,613350,0,1931,1996,0,"","",2.4,2,0,2,3,3016080051,NA,289,1003814,191627,"17a","","305 011",30604,"",NA,"",1,NA,NA,"25v4","",40.692627,-73.9294512,NA
"67","NYC19990200","LAFAYETTE CLUSTER","52 patchen ave","BROOKLYN","NY",11221,"Kings County",3,2,"Not Indicated","BK",1622,47,303,3038700,30387003000,387,3000,16,36,11221,"E214",81,32,2100,3,3,"5A","R6A","","","","","","","",NA,"","N","C0",2,0,"","THE GALBY GROUP LLC",1500,3300,0,3300,0,0,0,0,0,0,2,1,3,3,3,20,75,20,55,"N",3,"N",5,2,19680,93120,19017,1931,1998,0,"","",2.2,3,0,3,3,3016220047,NA,387,1004259,190879,"17a","","305 011",30605,"",NA,"",1,NA,NA,"25v4","",40.6905729,-73.9278487,NA
"68","NYC19990205","LAFAYETTE CLUSTER","751 greene ave","BROOKLYN","NY",11221,"Kings County",8,3,"Not Indicated","BK",1614,65,303,3027900,30279002000,279,2000,16,36,11221,"E214",81,32,2100,3,3,"3B","R6B","","","","","","","",NA,"","N","C1",2,0,"","SELDON GROUP LLC",5000,7800,0,7800,0,0,0,0,0,0,2,1,3,8,8,50,100,40,45,"G",0,"N",5,2,10350,969750,32496,1931,1998,0,"","",1.56,2,0,2,3,3016140065,NA,279,1001362,190710,"17a","","305 008",30604,"",NA,"",1,NA,NA,"25v4","",40.6901151,-73.9382955,NA
"69","NYC19990210","LAFAYETTE CLUSTER","794 greene ave","BROOKLYN","NY",11221,"Kings County",6,6,"Not Indicated","BK",1619,45,303,3027900,30279003000,279,3000,16,36,11221,"E214",81,32,2100,3,3,"3B","R6B","","","","","","","",NA,"","N","S9",4,0,"","SELDON GROUP LLC",2500,7000,2500,4500,0,2500,0,0,0,0,2,1,4,6,10,25,100,25,58,"N",0,"N",3,2,129600,857700,0,1931,2017,0,"","",2.8,2,0,2,3,3016190045,NA,279,1001835,190611,"17a","","305 008",30605,"",NA,"",1,NA,NA,"25v4","",40.6898424,-73.9365902,NA
"70","NYC19990215","LAFAYETTE CLUSTER","838 lafayette ave","BROOKLYN","NY",11221,"Kings County",6,4,"Not Indicated","BK",1609,13,303,3027900,30279001000,279,1000,16,36,11221,"E214",81,32,2100,3,3,"3B","R6B","","","","","","","",NA,"","N","C3",2,0,"X","DARE TO DREAM HOUSING ASSOCIATION, INC.",2000,1800,0,1800,0,0,0,0,0,0,2,1,2,4,4,20,100,20,45,"N",0,"N",5,5,7650,220950,220950,1931,0,0,"","",0.9,2,0,2,3,3016090013,NA,279,1001169,191054,"17a","","305 008",30604,"",NA,"",1,NA,NA,"25v4","",40.6910597,-73.9389906,NA
